PMID,Title,Abstract,Authors,Journal,Year,URL,Review,SystematicReview,ClinicalTrial,MetaAnalysis,RCT,LongitudinalStudy
41515177,Thyroid-Microbiome Allostasis and Mitochondrial Performance: An Integrative Perspective in Exercise Physiology.,"Exercise acts as a physiological stimulus, requiring precise coordination among endocrine, microbial, and mitochondrial systems to maintain metabolic stability through allostatic regulation. The goal of the article is to integrate multidisciplinary evidence to characterize the thyroid-microbiome-mitochondrial axis as a key regulator of the allostatic state in athletic physiological response. During acute, chronic, and overload training phases, the thyroid-microbiome-mitochondrial axis operates bidirectionally, coupling microbial signaling with endocrine and mitochondrial networks to mediate metabolic response to exercise. This response shows interindividual variability driven by sex, age, genetics, and nutritional status, shaping the boundaries between adaptive efficiency and allostatic overload. Microbial metabolites, such as short-chain fatty acids (SCFA) and secondary bile acids, modulate deiodinase activity, bile acid recycling, and mitochondrial biogenesis through AMPK-SIRT1-PGC1α signaling, optimizing substrate use and thermogenic capacity. Thyroid hormones reciprocally regulate gut motility, luminal pH, and bile secretion, maintaining microbial diversity and mineral absorption. Under excessive training load, caloric restriction, or inadequate recovery, this network becomes transiently unbalanced: SCFA synthesis decreases, D3 activity increases, and a reversible low-T<sub>3</sub>/high-rT<sub>3</sub> pattern emerges, resembling early Hashimoto- or Graves-like responses. Selenium-, zinc-, and iron-dependent enzymes form the redox link between microbial metabolism, thyroid control, and mitochondrial defense. In conclusion, the thyroid-microbiome-mitochondrial axis provides the physiological basis for the allostatic state, a reversible phase of dynamic recalibration that integrates training, nutrition, environmental stress, and circadian cues to sustain thyroid activity, mitochondrial efficiency, and microbial balance. This integrative perspective supports precision interventions to optimize recovery and performance in athletes.",Odriozola A; González A; Odriozola I; Corbi F; Álvarez-Herms J,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41515177/,1,0,0,0,0,0
41393015,Global research hotpots on child weight management: visualized analysis based on CiteSpace.,"This research aims to investigate the current research landscape, key focus areas, and emerging trends within the field of. We conducted searches on the Wanfang Data Knowledge Service Platform, China National Knowledge Infrastructure (CNKI), Web of Science (WOS) and PubMed databases. Bibliometric analysis was performed using CiteSpace 6.2.R3 software. Analytical methods included annual publication volume, co-authorship network analysis between countries, keywords co-occurrence analysis, and cluster analysis. From January 1, 2022, to June 1, 2025, a total of 281 Chinese-language publications and 168 English-language publications were retrieved. China exhibited the highest publication output, followed by the largest number of publications in the world. China exhibited the highest publication output, followed by the United States and Italy. in current research, both domestically and internationally, centers on holistic lifestyle restructuring. This involves replacing unhealthy lifestyle patterns with structured health behavior interventions. This involves replacing unhealthy lifestyle patterns with structured health behavior interventions, such as personalized exercise prescriptions and precision nutrition plans. Cluster analysis identified 7 distinct research hotspots within the field. Citespace keyword timeline analysis shows that intervention studies in this field have consistently emphasized placing the participation of children and their families at the core. By conducting an in-depth exploration of the definition, characteristics, and influencing factors related to childhood weight management, alongside investigating intervention methods and measures, this by conducting an in-depth exploration of the definition characteristics, and influencing factors related to childhood weight management, alongside investigating intervention methods and measures, this research advocates for a paradigm shift. The field should transition from fragmented approaches toward standardized, multidisciplinary collaborative models for childhood weight management.",Yang S; Wang J; Xu H,Frontiers in public health,2025,https://pubmed.ncbi.nlm.nih.gov/41393015/,0,1,0,0,0,0
41374076,"The Gut-Muscle-Immune Axis in Motion: Mechanistic Synergies of SCFA Metabolism, Exercise, and Microbial Cross-Feeding.","The gut microbiota plays a fundamental role in metabolic and immune homeostasis through the production of short-chain fatty acids (SCFAs). These metabolites influence mitochondrial biogenesis, muscle energetics, epithelial barrier stability, and inflammatory regulation via G-protein-coupled receptors, AMPK-PGC-1α signaling, and epigenetic remodeling. This review synthesizes current evidence on the gut-muscle-immune axis, emphasizing how dietary fermentable substrates, microbial cross-feeding interactions, and structured exercise modulate SCFA production and shape host physiological adaptation. We integrated findings from human and animal studies, multi-omic analyses, metabolomic and microbiome research, and exercise physiology to outline mechanistic links between microbial metabolism and systemic resilience. Key mechanistic pathways connecting dietary fiber fermentation to mitochondrial function, redox regulation, immune homeostasis, and metabolic plasticity are summarized. We further present the Targeted Gut Protocol 2.0, a conceptual 12-week framework combining fiber-diversity targets, lactate-guided exercise periodization, biomarker monitoring, and adaptive feedback mechanisms to enhance endogenous SCFA availability. SCFA-driven metabolic plasticity provides an integrative model through which lifestyle behaviors can modulate host physiology. Future research should prioritize standardized sampling approaches, causal inference methods, multi-omic integration, and AI-supported personalization to refine mechanistic understanding and strengthen translational potential.",Réka F; Zsófia B; Ádám B; Péter F,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41374076/,1,0,0,0,0,0
41373948,Personalized Nutritional Assessment and Intervention for Athletes: A Network Physiology Approach.,"Nutritional assessment and intervention in athletes, a central focus of sports medicine and healthcare, has increasingly shifted in recent years toward precision nutrition-an approach that individualizes dietary recommendations according to genetic profile, microbiome composition, lifestyle factors, and health status. Despite its promising potential, this approach faces significant limitations, including the challenge of integrating complex and dynamic interactions among multilevel indicators, and the relatively high costs associated with omics technologies. The aim of this paper is to propose a nutritional assessment and intervention model grounded in the Network Physiology of Exercise, an emerging scientific field that investigates the horizontal and vertical dynamic interactions among nested physiological levels and conceptualizes athletes as complex adaptive systems (CAS). The proposal integrates social, environmental, behavioral and psychobiological information, extracted particularly from semi-structured interviews based on CAS properties. Accordingly, the traditional dietary assessment tools are replaced by open and guided interviews that allow professionals and practitioners to co-construct meaningful insights and extract qualitative data through a reflexive thematic analysis. From a CAS perspective, the multidimensional and multi-timescale personal and environmental constrains affecting their eating behavior were integrated through a hierarchically nested organization. Eliciting the dynamics of emotional contexts, behavioral patterns, and psychophysiological states, the interviews become both a method of assessment and an intervention in itself.",Prieto A; Lizarraga MA; Balagué N,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/41373948/,1,0,0,0,0,0
41314750,Personalized management of Parkinson's disease.,"Parkinson's disease is a progressive neurodegenerative disorder characterized by dopaminergic neuron loss, α-synuclein aggregation, and oxidative stress-induced mitochondrial dysfunction. These contribute to motor symptoms like bradykinesia, tremor, rigidity, and postural instability, alongside non-motor issues such as cognitive decline and autonomic dysfunction. With rising global prevalence, especially in aging populations, understanding PD's complex pathophysiology is essential for advancing effective therapeutic strategies. This chapter offers a comprehensive overview of Parkinson's disease, covering its demographic trends, molecular mechanisms, symptoms, and current pharmacological treatments, including their mechanisms, classifications, benefits, and side effects. The central focus is on the emerging shift from standard symptomatic care to personalized, precision-based treatment strategies. These include gene-targeted therapies like RNA interference and CRISPR-Cas9, mitochondrial-based approaches, and stem cell innovations such as induced pluripotent stem cells (iPSCs). Pharmacogenetic profiling and biomarker-based interventions further support individualized therapeutic plans by predicting drug responses and tracking disease progression. This chapter explores patient-centric models like personalized neurorehabilitation, DBS, and cognitive-behavioral therapy, alongside advanced technologies such as AI, VR, AR, and wearable devices that enhance treatment, symptom monitoring, and real-time feedback through mobile applications. Lifestyle adaptations, including precision nutrition and customized exercise regimens, are highlighted as key components of comprehensive care. This chapter highlights a personalized, multi-dimensional approach to Parkinson's disease management, integrating molecular, technological, and lifestyle strategies to both ease symptoms and modify disease progression.",Chakraborty D; Roy PK; Das R; Mal C,Progress in brain research,2025,https://pubmed.ncbi.nlm.nih.gov/41314750/,1,0,0,0,0,0
41186329,Evaluating untargeted metabolomics pipelines for sports nutrition research: a review.,"Untargeted metabolomics has emerged as a transformative approach in sports nutrition research, offering an unbiased means to characterize the complex biochemical responses to exercise, training, and dietary interventions. Unlike targeted assays restricted to predefined metabolites, untargeted strategies capture broad metabolic perturbations across lipid, carbohydrate, amino acid, and nucleotide pathways, enabling the discovery of novel biomarkers and unanticipated physiological mechanisms. This review critically evaluates the design and application of untargeted metabolomic pipelines in the context of exercise and nutrition science, from pre-analytical sample handling and analytical platforms such as NMR, LC-MS, and GC-MS, to data processing using tools like XCMS, MZmine, and MS-DIAL, and subsequent statistical and bioinformatic interpretation. Key applications include delineating acute metabolic shocks induced by endurance exercise, identifying athlete-specific metabolic phenotypes shaped by chronic training, and assessing the impact of nutritional interventions such as fruit intake, amino acid supplementation, or polyphenol-rich foods on exercise recovery and oxidative stress. The integration of metabolomics with other omics, particularly microbiome metagenomics and lipidomics, highlights the potential for systems-level insights into host-microbe-diet interactions. Nonetheless, significant challenges remain, including the reproducibility of findings, difficulties in metabolite identification, and the translational gap between large datasets and actionable nutritional strategies. By synthesizing current strengths, limitations, and controversies, this review emphasizes that the future of sports metabolomics lies in methodological standardization, multi-omics integration, and validation of candidate biomarkers in independent cohorts. Collectively, these efforts position untargeted metabolomics as a cornerstone for advancing precision nutrition and personalized performance monitoring in athletes.",Liu Y; Liu X; Hu Y; Gao F; Yu W; Cheng F,Analytical methods : advancing methods and applications,2025,https://pubmed.ncbi.nlm.nih.gov/41186329/,1,0,0,0,0,0
41096907,"Dietary and Pharmacological Modulation of Aging-Related Metabolic Pathways: Molecular Insights, Clinical Evidence, and a Translational Model.","Advances in geroscience suggest that aging is modulated by molecular pathways that are amenable to dietary and pharmacological intervention. We conducted an integrative critical review of caloric restriction (CR), intermittent fasting (IF), and caloric restriction mimetics (CR-mimetics) to compare shared mechanisms, clinical evidence, limitations, and translational potential. Across modalities, CR and IF consistently activate AMP-activated protein kinase and sirtuins, inhibit mTOR (mechanistic target of rapamycin) signaling, and enhance autophagy, aligning with improvements in insulin sensitivity, lipid profile, low-grade inflammation, and selected epigenetic aging measures in humans. CR-mimetics, such as metformin, resveratrol, rapamycin, and spermidine, partially reproduce these effects; however, long-term safety and efficacy in healthy populations remain incompletely defined. Methodological constraints-short trial duration, selective samples, intermediate (nonclinical) endpoints, and limited adherence monitoring-impede definitive conclusions on hard outcomes (frailty, disability, hospitalization, mortality). We propose the Active Management of Aging and Longevity (AMAL) model, a three-level biomarker-guided framework that integrates personalized diet, chrono-nutrition, exercise, and the selective use of CR-mimetics, along with digital monitoring and decision support. AMAL emphasizes epigenetic clocks, multi-omics profiling, inflammatory and microbiome metrics, and adaptive protocols to enhance adherence and clinical relevance. Overall, CR, IF, and CR mimetics constitute promising, complementary strategies to modulate biological aging; rigorous long-term trials with standardized biomarkers and clinically meaningful endpoints are needed to enable their scalable implementation.",Murillo-Cancho AF; Lozano-Paniagua D; Nievas-Soriano BJ,International journal of molecular sciences,2025,https://pubmed.ncbi.nlm.nih.gov/41096907/,1,0,0,0,0,0
40953839,Gut Microbiota-Targeted Polyphenol Interventions: A Novel Paradigm and Synergistic Strategies for Obesity Management.,"Obesity has emerged as a major metabolic disorder threatening global public health, with gut microbiota (GM) dysbiosis recognized as a key pathogenic driver. While existing reviews have explored associations between GM and obesity (e.g., the gut-liver axis), this review focuses specifically on polyphenols to establish a novel paradigm of ""GM-targeted polyphenol interventions."" Naturally occurring polyphenols exhibit unique advantages in obesity management; however, their systemic effects critically depend on GM-mediated biotransformation. Herein, we propose the ""Polyphenol-GM Axis"" as the core mechanism underpinning polyphenol efficacy against obesity, synthesizing and integrating current evidence. This comprehensive review elucidates how polyphenols from diverse sources ameliorate obesity through GM modulation: (1) remodeling gut-liver crosstalk via bile acid metabolism; (2) inhibiting lipogenesis through GM-derived metabolites; (3) restoring intestinal barrier integrity; (4) blocking inflammatory cascades. We elucidate causal relationships between polyphenol-induced GM shifts and host metabolic outcomes, revealing targeted pathways for bidirectional ""microbiota-host"" regulation. Critically, we propose that combining GM-targeted polyphenol interventions with lifestyle modifications (diet/exercise) enables precision nutrition. This paradigm provides a theoretical foundation for developing polyphenol-based therapeutics beyond nutritional supplements. Future research should prioritize personalized GM modulation and structural optimization of polyphenols to accelerate their translation from functional foods to clinical agents for obesity management.",Cai Y; Xu J; Wang B,Phytotherapy research : PTR,2025,https://pubmed.ncbi.nlm.nih.gov/40953839/,1,0,0,0,0,0
40946974,Selenium and brain aging: A comprehensive review with a focus on hippocampal neurogenesis.,"Brain aging is accompanied by progressive cognitive decline and increased risk of neurodegenerative diseases, with adult hippocampal neurogenesis (AHN) playing a pivotal role in maintaining cognitive resilience. Selenium, an essential trace element, exerts significant neuroprotective and neurogenic effects predominantly through its incorporation into selenoproteins, which regulate oxidative stress, neuroinflammation, and synaptic plasticity. This review synthesizes recent advances delineating selenium's metabolism, bioavailability, and its multifaceted roles in brain development, function, and aging, emphasizing mechanisms underpinning hippocampal neurogenesis. Key molecular pathways influenced by selenium include phosphoinositide 3-kinase (PI3K)/protein kinase B (Akt)/Wingless/Integrated (Wnt) and brain-derived neurotrophic factor (BDNF)/tropomyosin receptor kinase B (TrkB) signaling pathways that promote neural progenitor cell proliferation and differentiation. Selenium transport via selenoprotein P and its receptor low-density lipoprotein receptor-related protein 8 (LRP8) is critical for adequate selenium delivery to the hippocampus to support neurogenesis, with exercise demonstrated to potentiate this axis. Selenium also mitigates ferroptosis, preserves mitochondrial integrity, and modulates neuroimmune interactions by attenuating microglial activation and inflammasome signaling, fostering a neurogenic environment. Emerging evidence highlights selenium's regulatory effects on RNA expression, including microRNAs modifications, further influencing neuronal health. Despite promising preclinical and observational data, clinical translation remains limited by heterogeneous and short-term studies. Future research priorities include multi-omics investigations, longitudinal cohorts, and addressing global selenium intake disparities through policy initiatives and precision nutrition. By consolidating mechanistic insights with clinical perspectives, this review underscores selenium's potential as a modifiable factor to enhance AHN and cognitive health, advocating for integrated translational strategies to combat brain aging and neurodegeneration.",Daneshpour A; Leite MEN; Wagner KH; Sabico S; Al-Daghri NM; Aldisi D; König D; Gil JFL; Stubbs B,Ageing research reviews,2025,https://pubmed.ncbi.nlm.nih.gov/40946974/,1,0,0,0,0,1
40806058,Histamine Metabolism in IBD: Towards Precision Nutrition.,"Patients with Inflammatory Bowel Disease (IBD) exhibit a dysregulated immune response that may be further exacerbated by bioactive compounds, such as histamine. Current dietary guidelines for IBD primarily focus on symptom management and flare-up prevention, yet targeted nutritional strategies addressing histamine metabolism remain largely unexplored. This narrative review aims to summarize the existing literature on the complex interplay between IBD and histamine metabolism and propose a novel dietary framework for managing IBD progression in patients with histamine intolerance (HIT). Relevant studies were identified through a comprehensive literature search of PubMed/MEDLINE, Google Scholar, ScienceDirect, Scopus, and Web of Science. The proposed low-histamine diet (LHD) aims to reduce the overall histamine burden in the body through two primary strategies: (1) minimizing exogenous intake by limiting high-histamine and histamine-releasing foods and (2) reducing endogenous histamine production by modulating gut microbiota composition, specifically targeting histamine-producing bacteria. In parallel, identifying individuals who are histamine-intolerant and understanding the role of histamine-degrading enzymes, such as diamine oxidase (DAO) and histamine-N-methyltransferase (HNMT), are emerging as important areas of focus. Despite growing interest in the role of histamine and mast cell activation in gut inflammation, no clinical trials have investigated the effects of a low-histamine diet in IBD populations. Therefore, future research should prioritize the implementation of LHD interventions in IBD patients to evaluate their generalizability and clinical applicability.",Kanta D; Katsamakas E; Gudiksen AMB; Jalili M,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/40806058/,1,0,0,0,0,0
40625617,The human gut microbiota is associated with host lifestyle: a comprehensive narrative review.,"The gut microbiota serves as a critical interface between lifestyle factors and host physiology. Despite extensive research on individual domains including diet, sleep, and exercise, an integrated understanding of their synergistic effects on microbial communities remains incomplete. This knowledge gap limits our ability to develop targeted microbiome-based interventions for metabolic and immune-related disorders. To address this gap, we conducted a comprehensive evaluation of peer-reviewed literature from 2000 to present, identified through systematic searches of PubMed, Web of Science, and Scopus using key terms related to gut microbiota and lifestyle interventions. Our analysis focused on studies incorporating microbiome profiling techniques, controlled lifestyle interventions, and multi-omics data integration. The review prioritized mechanistic insights from both clinical and preclinical investigations while critically assessing methodological approaches across the field. High-fiber dietary patterns consistently promoted the abundance of beneficial, short-chain fatty acid-producing bacteria, though with notable inter-individual variation. Circadian rhythm disruption was associated with reduced microbial diversity and expansion of pro-inflammatory bacterial taxa, paralleling increases in systemic inflammation markers. Athletic populations demonstrated unique microbial signatures characterized by enhanced metabolic potential, with distinct taxonomic profiles emerging across different sport disciplines. This work synthesizes current evidence into a novel framework for understanding lifestyle-microbiota interactions, while identifying key challenges in study design and data interpretation. We propose standardized methodological approaches for future investigations and outline translational strategies for personalized microbiota modulation. These insights advance the potential for targeted microbial interventions to optimize metabolic and immune health outcomes.",Zeng Q; Feng X; Hu Y; Su S,Frontiers in microbiology,2025,https://pubmed.ncbi.nlm.nih.gov/40625617/,1,0,0,0,0,0
40507171,Selenium and Skeletal Muscle Health in Sports Nutrition.,"Selenium is a trace element of fundamental importance to human health. In recent years, an increasing number of studies have been carried out in the field of skeletal muscle health and sports nutrition. Selenium functions in the human body through selenoproteins. Selenoproteins play an important role in maintaining skeletal muscle function by delaying exercise fatigue and muscle aging. They mainly regulate skeletal muscle by anti-oxidation, regulating signal pathways, and affecting protein metabolism. In this paper, we summarize the latest advancements in research regarding selenium and its impact on skeletal muscle health, along with its applications in sports nutrition.",Wang Q; Huang J; Zhu K; Zuo W,Nutrients,2025,https://pubmed.ncbi.nlm.nih.gov/40507171/,1,0,0,0,0,0
40438271,Exploration of Pathogenesis and Cutting-Edge Treatment Strategies of Sarcopenia: A Narrative Review.,"Sarcopenia a progressive and multifactorial musculoskeletal syndrome characterized by loss of muscle mass and function, poses a significant global health challenge, particularly in aging populations. Epidemiological studies reveal that sarcopenia affects approximately 5-10% of the general population, with prevalence rates escalating dramatically after age 60 to reach 10-27% in older adults. This age-associated increase contributes significantly to healthcare burdens by elevating risks of disability, frailty, and mortality. Despite its profound impact, current clinical approaches to sarcopenia remain limited. While resistance exercise and protein supplementation form the cornerstone of management, their efficacy is often constrained by poor long-term adherence and variable individual responses, highlighting the urgent need for more comprehensive and personalized treatment strategies. The pathogenesis of sarcopenia is complex and influenced by various factors, including aging, inflammation, nutritional deficits, physical inactivity, and mitochondrial dysfunction. However, the precise molecular mechanisms underlying this condition are still not fully understood. Recent research has made significant strides in elucidating the intricate mechanisms contributing to sarcopenia, revealing novel insights into its molecular and cellular underpinnings. Notably, emerging evidence points to the pivotal role of mitochondrial dysfunction, altered myokine profiles, and neuromuscular junction degeneration in sarcopenia progression. Additionally, breakthroughs in stem cell therapy, exosome-based treatments, and precision nutrition offer promising avenues for clinical intervention. This review aims to synthesize the latest advancements in sarcopenia research, focusing on the novel contributions to its pathogenesis and treatment strategies. We explore emerging trends such as the role of cellular senescence, epigenetic regulation, and targeted therapeutic interventions that could reshape future approaches to managing sarcopenia. By highlighting recent breakthroughs and cutting-edge research, we hope to advance the understanding of sarcopenia and foster the translation of these findings into effective clinical therapies.",Gao Y; Liu D; Xiao Q; Huang S; Li L; Xie B; Zhou L; Qi Y; Liu Y,Clinical interventions in aging,2025,https://pubmed.ncbi.nlm.nih.gov/40438271/,1,0,0,0,0,0
40161281,Lifestyle Interventions and Innovative Approaches for the Management of Neurodegenerative Disorders in Older Adults-State-Of-The-Art and Future Directions.,"Aging increases the risk of neurodegenerative diseases (NDs) like Alzheimer's (AD) and Parkinson's (PD), characterized by neuronal loss and cognitive decline. Potential preventive/therapeutic interventions also include lifestyle changes like nutrition & diet, exercise, leisure and social engagement. Here, we discuss several lifestyle interventions for healthy brain aging, and in older adults with NDs. Balanced diets like the Mediterranean and MIND diets can reduce cognitive decline during aging. Long-term use of specific nutrient combinations in medical food may also exert benefits on memory. Metabolic interventions like calorie restriction (CR) and intermittent fasting (IF) have shown potential benefits in aging. However, their effects on cognitive function in older adults were modestly explored and remain unclear. Clinical trials are ongoing to test the cognitive and health outcomes of CR/IF variants in older adults with AD or PD (associated or not with metabolic disorders). We also highlight the role of cognitive reserve (CoR) in delaying dementia symptoms. Engaging in diverse leisure activities like music and bilingualism may enhance CoR and reduce AD risk. Finally, we outline future directions for promoting healthy brain aging through lifestyle interventions (e.g., personalized diets, precision nutrition, synergistic lifestyle approaches, AI-based technologies to monitor the effectiveness of lifestyle practices).",Popescu I; Lenain M; Rovini E; Ruthsatz M,American journal of lifestyle medicine,2025,https://pubmed.ncbi.nlm.nih.gov/40161281/,1,0,0,0,0,0
